Alto Santa Teresinha, Alto José Bonifácio, Rua Côrrego José Grande, “Acesso por rua”, 2.0
Bomba do Hemetério, Arruda, Rua Desembargador Heráclito Cavalcanti, “Acesso por rua”, 2.0
Bomba do Hemetério, Alto José do Pinho, Rua 2A Travessa chá de Alegria, “Acesso por rua”, 2.0
Bomba do Hemetério, Mangabeira, Rua Maria Gonçalves, “Acesso por rua”, 2.0
Cajueiro, Porto da Madeira, Avenida Cidade de Monteiro, “Acesso por rua”, 2.0
Porto da Madeira, Beberibe, Rua Doná Virtuosa de Lucena, “Acesso por rua”, 2.0
Beberibe, Dois Unidos, Avenida Hildebrando de Vasconcelos, “Acesso por Avenida”, 4.0
Beberibe, Linha do Tiro, Rua Alto dos Coqueiros, “Acesso por rua”, 2.0
Dois Unidos, Passarinho, Avenida Chagas Ferreira, “Acesso por avenida”, 4.0
Dois Unidos, Linha do Tiro, Rua Isaltino Lobo, “Acesso por rua”, 2.0
Aflitos, Espinheiro, Rua Conselheiro Portela, “Acesso por rua”, 2.0
Aflitos, Graças, Rua da Angustura, “Acesso por rua”, 2.0
Alto do Mandu, Monteiro, Rua Siriji, “Acesso por rua”, 2.0
Alto do Mandu, Apipucos, Rua Massaranduba, “Acesso por rua”, 2.0
Alto do Mandu, Casa Amarela, Rua Coruripe, “Acesso por rua”, 2.0
Alto do Mandu, Macaxeira, Rua Nova Descoberta, “Acesso por rua”, 2.0
Alto do Mandu, Vasco da Gama, Rua S D 5178, “Acesso por rua”, 2.0
Apipucos, Dois Irmãos, Avenida da Recuperação, “Acesso por Avenida”, 4.0
Apipucos, Macaxeira, Rua Erundina N. de Araujo, “Acesso por rua”, 2.0
Apipucos, Monteiro, Rua de Apipucos, “Acesso por rua”, 2.0
Apipucos, Caxangá, Rodovia, Governador Mário Covas, “Acesso por rodovia”, 5.0
Apipucos, Córrego do Jenipapo, Rua Araripe Júnior, “Acesso por rua”, 2.0
Casa Amarela, Casa Forte, Estrada do Encanamento, “Acesso por estrada”, 1.5
Casa Amarela, Parnamirim, Rua Estrela, “Acesso por rua”, 2.0
Casa Amarela, Alto José do Pinho, Rua Córrego do Bartolomeu, “Acesso por rua”, 2.0
Casa Amarela, Vasco da Gama, Rua Iargo Dom Luiz, “Acesso por rua”, 2.0
Casa Amarela, Morro da Conceição, Estrada do Morro da Conceição, “Acesso por Estrada”, 1.5
Casa Amarela, Nova Descoberta, Rua Nova Descoberta, “Acesso por Rua”, 2.0
Casa Amarela, Tamarineira, Rua Doutor Brito Alves, “Acesso por Rua”, 2.0
Casa Amarela, Mangabeira, Rua Monte Horebe, “Acesso por Rua”, 2.0
Casa Amarela, Monteiro, Rua Santa Izabel, “Acesso por Rua”, 2.0
Casa Forte, Poço da Panela, Estrada do Encanamento, “Acesso por estrada”, 1.5
Casa Forte, Parnamirim, Rua Doutor Samuel Lins, “Acesso por rua”, 2.0
Casa Forte, Santana, Rua Jaime Loyo, “Acesso por rua”, 2.0
Derby, Graças, Rua Amaro Bezerra, “Acesso por rua”, 2.0
Derby, Madalena, Ponte Estácio Coimbra, “Acesso por ponte”, 1.0
Dois Irmãos, Caxangá, Rua Manuel de Medeiros, “Acesso por rua”, 2.0
Dois Irmãos, Guabiraba, Estrada dos Macacos, “Acesso por estrada”, 1.5
Espinheiro, Graças, Rua do Espinheiro, “Acesso por rua”, 2.0
Graças, Jaqueira, Rua do Futuro, “Acesso por rua”, 2.0
Graças, Tamarineira, Rua Cel. Uriel Sérgio Gardim, “Acesso por rua”, 2.0
Graças, Madalena, Rua Amélia, “Acesso por ponte”, 1.0
Graças, Torre, Rua Joaquim Nabuco, “Acesso por ponte”, 1.0
Jaqueira, Parnamirim, Rua Padre Roma, “Acesso por rua”, 2.0
Jaqueira, Santana, Rua Leonardo Bezerra Cavalcante, “Acesso por rua”, 2.0
Jaqueira, Tamarineira, Rua Simão Mendes, “Acesso por rua”, 2.0
Monteiro, Poço da Panela, Rua Tapacurá, “Acesso por rua”, 2.0
Monteiro, Iputinga, Ponte Engenheiro Jaime Gusmão, “Acesso por ponte”, 2.0
Parnamirim, Santana, Rua Doutor João Santos Filho, “Acesso por rua”,2.0
Parnamirim, Torre, Rua José Bonifácio, “Acesso por ponte”, 1.0
